       eth0       
 KB/s in  KB/s out
23400.10   4926.13
 1131.80     29.34
 3532.00     84.07
  761.67   4368.78
 2793.97  14811.69
   21.20     24.53
20634.74   7085.91
 9542.34   7651.69
17585.95   7330.65
 9579.83   8804.22
  152.24     17.27
 1642.40   1447.40
 4850.83   4598.06
15413.49  18849.36
12927.73  11629.22
11273.31  14837.43
 6539.12   2899.28
    1.84      2.12
 9115.50   5604.94
 1258.78   7975.10
 4582.04   8778.39
 8525.78    294.89
       eth0       
 KB/s in  KB/s out
22740.82  17815.41
10890.41   5278.21
 2689.83    371.85
 8936.28  10528.45
  142.16   5780.02
18115.97  13325.94
12752.20   8979.03
10171.46   8364.70
 7305.32  12381.58
  943.33     97.21
 1218.24    508.29
 4907.31  10136.72
11364.67   6333.13
17310.18   9359.29
14100.17  10014.70
11829.80   4836.70
  916.07    532.87
 4856.98   4634.81
 1559.90   1577.67
 5479.12   2769.49
12856.92  13379.61
11395.69   9042.27
       eth0       
 KB/s in  KB/s out
18731.78  16257.00
12551.92   1074.10
 5271.37   4429.70
 1370.86    401.02
 9821.25  14161.61
17097.61   8516.14
 6709.69   4515.31
13923.63   4782.09
 8643.88   3098.54
 8547.16   5142.98
    2.07      4.55
 7238.88   7393.59
20664.28   9414.51
16465.72   4871.49
12108.70    705.46
12099.03   1973.64
 9129.50   4963.59
 1793.44    710.88
  265.62   4407.59
15839.54   8280.45
10576.32   6423.93
15752.06  13702.80
       eth0       
 KB/s in  KB/s out
12393.64   4379.53
 6141.80   5539.86
 1973.37    656.62
 1312.74    722.31
 6073.44    248.89
 4376.14   4176.44
21430.25  10313.64
16741.42  11197.17
 8005.09   6275.36
 1293.77   4536.63
    2.46      3.26
10911.43  10021.53
16976.92  11643.75
16336.84   6295.49
 1796.16   5269.95
 1723.74   1610.59
 6529.79   2062.00
   93.84     11.79
 3517.26    116.57
 8208.28  10457.82
14387.61   6178.79
11664.77  13443.97
       eth0       
 KB/s in  KB/s out
 6280.42   2073.86
13240.68   8315.18
  384.88     27.67
 4713.47   1649.22
10798.04   2309.31
13033.08    645.77
10760.43  10471.11
12106.40   5053.93
  509.99   5809.84
 3613.94   5001.64
 2296.25   4673.78
 9126.39   2317.63
12231.71    345.70
 7719.04   5213.01
16128.18   9800.86
 6127.28    301.67
 4793.98   4851.89
  654.81    243.76
 1882.74   4622.85
14276.58    903.23
18000.69   7287.88
11425.68  14296.02
       eth0       
 KB/s in  KB/s out
 6857.99   1615.12
 7962.85   1462.71
 3504.51   5072.60
 5127.98   5409.69
14760.60  11535.81
19150.52   6184.84
10279.56   9856.29
10385.21   4088.88
 8964.34   5944.91
 6532.64   1411.50
 1220.29    121.97
11585.12   8744.85
11884.19   6244.97
13536.26   2610.07
 6419.94   8292.39
11926.44   2260.19
  597.11     12.68
  484.35     48.53
16323.44  11604.22
 9849.70   5251.97
15596.98  10951.38
18600.72   6494.18
       eth0       
 KB/s in  KB/s out
 2131.56   1923.79
 4256.31    952.15
  696.96     19.32
 6550.88   6599.31
 8874.47   5054.02
 1818.32   1446.69
 6471.51   6477.17
17997.97  15301.35
 8538.11   5858.35
    4.03      3.12
11418.34   6175.89
19327.22  10807.04
11399.06   9065.68
12275.88   5062.43
 8350.99   6268.91
 2931.23   2773.51
 2493.38     66.45
 3192.30   6610.29
15199.47   7795.92
20960.31   9523.11
15710.43  11531.80
 9148.05   6365.04
       eth0       
 KB/s in  KB/s out
 7647.03   5770.06
  743.62    279.50
 8922.08   7754.48
10115.51   7645.95
11828.64    604.11
12859.79   2169.89
 5731.35    426.07
 6121.07   5640.22
 4595.58    116.94
   22.65     19.64
11456.01  10520.06
 7999.86  14930.67
12816.24   9870.29
19950.09  10880.37
  537.59   3443.21
 1870.39   1893.73
  364.05    392.55
  895.70    910.63
 3427.19   3440.10
12665.12   9794.65
 9705.92   6423.84
 7033.28   7929.79
       eth0       
 KB/s in  KB/s out
11454.23   4654.72
    1.78      5.56
 4028.49   6564.34
 7937.13  12885.81
13762.62  14561.42
11935.98   8591.78
10982.27   6806.84
 4751.78    151.89
   67.47      3.73
 2078.58    151.68
 2637.17   8129.96
15339.36  10208.15
 9217.58   2809.76
16330.80   7731.32
 4600.05   4392.01
    3.73      3.01
 4704.79    896.00
 5069.66  12059.37
12350.86   8092.92
11413.88  11900.62
11453.47   7340.64
 6422.93   8831.84
       eth0       
 KB/s in  KB/s out
 6171.66   2910.54
 4975.02    121.57
 8532.34   6684.96
11260.00   9413.27
